Profile Num,Profile Name,link,use_random,smooth,brightness,seq_pos,seq_len,rate,transition,Red 1,Green 1,Blue 1,Red 2,Green 2,Blue 2,Red 3,Green 3,Blue 3,Red 4,Green 4,Blue 4,Red 5,Green 5,Blue 5,Red 6,Green 6,Blue 6,Red 7,Green 7,Blue 7,Red 8,Green 8,Blue 8,Red 9,Green 9,Blue 9,Red 10,Green 10,Blue 10
0,Default,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Red 1,0,FALSE,FALSE,0.4,0,1,,0,4095,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Green 1,0,FALSE,FALSE,0.4,0,1,,0,0,4095,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Blue 1,0,FALSE,FALSE,0.4,0,1,,0,0,0,4095,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,White 1,0,FALSE,FALSE,0.4,0,1,,0,4095,4095,4095,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Red 2,0,FALSE,FALSE,0.4,0,1,,0,4095,1365,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Green 2,0,FALSE,FALSE,0.4,0,1,,0,0,4095,1365,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Blue 2,0,FALSE,FALSE,0.4,0,1,,0,1365,0,4095,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,White 2,0,FALSE,FALSE,0.4,0,1,,0,4095,4000,3700,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Red 3,0,FALSE,FALSE,0.4,0,1,,0,4095,2730,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Green 3,0,FALSE,FALSE,0.4,0,1,,0,0,4095,2730,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Blue 3,0,FALSE,FALSE,0.4,0,1,,0,2730,0,4095,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,White 3,0,FALSE,FALSE,0.4,0,1,,0,4095,4095,3000,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Red 4,0,FALSE,FALSE,0.4,0,1,,0,2730,4095,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Green 4,0,FALSE,FALSE,0.4,0,1,,0,0,2730,4095,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Blue 4,0,FALSE,FALSE,0.4,0,1,,0,4095,0,2730,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,White 4,0,FALSE,FALSE,0.4,0,1,,0,3800,3800,4095,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Red 5,0,FALSE,FALSE,0.4,0,1,,0,1365,4095,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Green 5,0,FALSE,FALSE,0.4,0,1,,0,0,1365,4095,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Blue 5,0,FALSE,FALSE,0.4,0,1,,0,4095,0,1365,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,White 5,0,FALSE,FALSE,0.4,0,1,,0,3700,4095,4095,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Flash,0,FALSE,FALSE,0.4,0,2,0.1,0,4095,4095,4095,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
22,Jump 3,0,FALSE,FALSE,0.4,0,3,0.025,,4095,0,0,0,4095,0,0,0,4095,,,,,,,,,,,,,,,,,,,,,
23,Jump 7,0,TRUE,FALSE,0.4,0,2,0.025,,0,0,0,4095,4095,4095,0,0,0,4095,4095,4095,,,,,,,,,,,,,,,,,,
24,Fade 3,0,FALSE,TRUE,0.4,0,3,0.025,,4095,0,0,0,4095,0,0,0,4095,,,,,,,,,,,,,,,,,,,,,
25,Fade 7,0,TRUE,TRUE,0.4,0,2,0.025,,0,0,0,4095,4095,4095,0,0,0,4095,4095,4095,,,,,,,,,,,,,,,,,,
26,Channel 1 Idle Day,0,FALSE,TRUE,0.3,0,3,0.025,,4095,0,0,0,4095,0,0,0,4095,,,,,,,,,,,,,,,,,,,,,
27,Channel 2 Idle Day,0,TRUE,TRUE,0.2,0,2,0.025,,0,0,0,0,0,0,0,0,0,4095,4095,4095,,,,,,,,,,,,,,,,,,
28,Channel 3 Idle Day,0,TRUE,TRUE,0.2,0,2,0.025,,0,0,0,0,0,0,0,0,0,4095,4095,4095,,,,,,,,,,,,,,,,,,
29,Channel 1 Idle Night,0,FALSE,TRUE,0.2,0,3,0.025,,4095,0,0,0,4095,0,0,0,4095,,,,,,,,,,,,,,,,,,,,,
30,Channel 2 Idle Night,0,FALSE,TRUE,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Channel 3 Idle Night,0,FALSE,TRUE,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Channel 1 Custom,0,FALSE,TRUE,0.4,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Channel 2 Custom,0,FALSE,TRUE,0.4,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Channel 3 Custom,0,FALSE,TRUE,0.4,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
